drug_name,boxed_warning,contraindications_len,indications_len,manufacturer
ondansetron hydrochloride,0,64,153,ST. MARY'S MEDICAL PARK PHARMACY
,0,0,7,Unknown
,0,0,17,Unknown
cyclobenzaprine hydrochloride,0,63,133,ST. MARY'S MEDICAL PARK PHARMACY
valsartan,1,48,588,Archis Pharma LLC
,0,0,13,Unknown
lisinopril and hydrochlorothiazide tablets,1,112,452,ST. MARY'S MEDICAL PARK PHARMACY
allopurinol,0,19,186,ST. MARY'S MEDICAL PARK PHARMACY
,0,0,22,Unknown
doxycycline,0,16,501,ST. MARY'S MEDICAL PARK PHARMACY
isopropyl alcohol,0,0,17,Dukal LLC
menthol,0,0,19,Medical Group Care LLC
menthol,0,0,28,"Ubu/Elements, Inc."
isopropyl alcohol,0,0,17,Dollar General Corporation
,0,39,87,Unknown
